"","spp","trt","substrate","sample","year","stem.wt","roots.wt","leaves.wt","n.stem","c.stem","n.root","c.root","n.leaf","c.leaf","plant.lma","focal.lma","vcmax","jmax","d.13.C","chi","n.mg","p.mg"
"106","Holcus lanatus","Natural","Reijerscamp","R I HL 5",2,1.4783,1.894,1.421,0.767860711,40.81606293,0.838335991,44.65783691,2.012301445,41.28510666,18.93326335,18.93326335,23.38946192,47.1951915,25.88891735,0.950837051,58.8,4.96
"107","Holcus lanatus","Natural","Reijerscamp","R I HL 6",2,1.0926,2.1458,1.5098,0.885683,41.12505341,0.901585102,40.27692795,1.680235505,41.82330322,18.19572701,18.19572701,22.25087321,43.00887592,25.44595815,0.931237086,58.8,4.96
"108","Holcus lanatus","Natural","Reijerscamp","R I HL 7",2,1.2565,1.8068,1.8177,0.624030948,39.58447647,0.695054531,46.25535965,1.286279917,40.24116516,17.76973824,NA,NA,NA,NA,NA,58.8,4.96
"109","Holcus lanatus","Natural","Reijerscamp","R I HL 8",2,1.0973,1.1438,1.5948,0.705502868,41.42151642,0.868479669,44.49471664,1.483557105,41.76871109,20.12534068,20.12534068,18.77235139,38.70091115,26.39991099,0.973447389,58.8,4.96
"110","Holcus lanatus","Natural","Reijerscamp","R I HL 9",2,1.0069,1.6211,1.4664,0.731053174,42.45766449,0.609556079,46.17679596,1.521712303,40.52689743,17.89679683,17.89679683,16.5439631,33.887989,26.13946944,0.961923427,58.8,4.96
"111","Holcus lanatus","Natural","Reijerscamp","R I HL 10",2,1.2353,2.4782,1.896,0.679120123,41.09006119,0.744108677,41.98957825,1.268112421,41.0743866,19.54993617,NA,NA,NA,NA,NA,58.8,4.96
"112","Holcus lanatus","Natural","Reijerscamp","R I HL 11",2,1.3777,1.7208,1.3207,0.626650333,40.93990707,0.949257612,42.12560654,1.724740982,41.43789291,15.67819238,15.67819238,20.03273948,39.93649494,26.10546235,0.960418688,58.8,4.96
"113","Solanum dulcamara","Natural","Reijerscamp","R I SD 1",2,3.5498,1.4803,1.2748,0.606260359,44.21664047,1.761642337,42.10081482,1.811052918,40.07051849,25.63157377,31.52731327,37.63851328,71.82563092,NA,NA,58.8,4.96
"114","Solanum dulcamara","Natural","Reijerscamp","R I SD 2",2,2.1032,1.0352,0.8011,0.546473026,43.91129684,1.546453238,43.75521851,1.714544654,41.06723404,21.73944947,25.40210101,23.7733373,48.1071983,24.2037936,0.876274053,58.8,4.96
"115","Solanum dulcamara","Natural","Reijerscamp","R I SD 3",2,2.3731,1.3126,1.2448,0.533956647,44.34180832,1.526785612,42.57209015,1.490607023,41.43946457,27.81076672,29.46261844,27.87591914,60.14473121,24.03316645,0.868724179,58.8,4.96
